gvkey,fyear,enp_share
003052,1987.0,1.0
003067,1983.0,1.0
003067,1984.0,1.0
003067,1985.0,1.0
003067,1986.0,1.0
003179,1980.0,1.0
003179,1981.0,1.0
003179,1982.0,1.0
003196,1978.0,1.0
003196,1979.0,1.0
003196,1980.0,1.0
003196,1981.0,1.0
003196,1982.0,1.0
003196,1983.0,1.0
003196,1984.0,1.0
003196,1985.0,1.0
003201,1977.0,1.0
003201,1978.0,1.0
003201,1979.0,1.0
003201,1980.0,1.0
003201,1981.0,1.0
003209,1977.0,1.0
003209,1978.0,1.0
003209,1979.0,1.0
003209,1980.0,1.0
003209,1981.0,1.0
003209,1982.0,1.0
003209,1983.0,1.0
003209,1984.0,1.0
003209,1985.0,1.0
003209,1986.0,1.0
003209,1987.0,1.0
003209,1988.0,1.0
003213,1984.0,1.0
003213,1985.0,1.0
003213,1986.0,1.0
003213,1987.0,1.0
003213,1988.0,1.0
003213,1989.0,1.0
003213,1990.0,1.0
003213,1991.0,1.0
003213,1992.0,1.0
003213,1993.0,1.0
003213,1994.0,1.0
003217,1982.0,1.0
003217,1983.0,1.0
003217,1984.0,1.0
003217,1985.0,1.0
003254,1978.0,1.0
003254,1979.0,1.0
003254,1980.0,0.8915887850467289
003254,1982.0,1.0
003254,1983.0,1.0
003400,1982.0,1.0
003400,1983.0,1.0
003400,1984.0,1.0
003400,1985.0,1.0
003400,1986.0,1.0
003400,1987.0,1.0
003400,1988.0,1.0
003400,1989.0,1.0
003400,1990.0,1.0
003420,1980.0,0.8371228877289215
003420,1981.0,0.8736713424362348
003420,1982.0,0.889890438247012
003420,1983.0,0.8950940008449514
003420,1984.0,1.0
003420,1985.0,1.0
003420,1986.0,1.0
003420,1987.0,1.0
003420,1988.0,1.0
003420,1989.0,1.0
003428,1977.0,1.0
003428,1978.0,1.0
003428,1979.0,1.0
003428,1980.0,1.0
003428,1981.0,1.0
003428,1982.0,1.0
003428,1983.0,1.0
003469,2002.0,0.9429452480181691
003469,2003.0,0.8085459665160125
003469,2005.0,1.0
003469,2006.0,1.0
003469,2007.0,1.0
003469,2008.0,1.0
003469,2009.0,1.0
003469,2010.0,1.0
003469,2011.0,1.0
003469,2012.0,1.0
003469,2013.0,1.0
003469,2014.0,1.0
003469,2015.0,1.0
003469,2016.0,1.0
003469,2017.0,1.0
003469,2018.0,1.0
003469,2019.0,1.0
003469,2020.0,1.0
003469,2021.0,1.0
003487,1981.0,1.0
003487,1982.0,1.0
003487,1983.0,1.0
003487,1984.0,1.0
003487,1985.0,1.0
003487,1986.0,1.0
003487,1987.0,1.0
003569,1981.0,1.0
003569,1982.0,1.0
003569,1983.0,1.0
003594,1980.0,1.0
003594,1981.0,1.0
003594,1982.0,1.0
003594,1983.0,1.0
003594,1984.0,1.0
003594,1985.0,1.0
003594,1986.0,1.0
003594,1987.0,1.0
003594,1988.0,1.0
003594,1989.0,1.0
003594,1990.0,1.0
003594,1991.0,1.0
003594,1992.0,1.0
003594,1993.0,1.0
003594,1994.0,1.0
003594,1995.0,1.0
003594,1996.0,1.0
003594,1997.0,1.0
003594,1998.0,1.0
003594,1999.0,1.0
003594,2000.0,1.0
003594,2001.0,1.0
003594,2002.0,1.0
003594,2003.0,1.0
003594,2004.0,1.0
003594,2005.0,1.0
003594,2006.0,1.0
003594,2007.0,1.0
