gvkey,fyear,total_sales,domestic_sales,domestic_sales_share
002052,2021.0,18.105,7.7,0.42529687931510635
002052,2022.0,28.527,9.34,0.32740912118344023
002052,2023.0,25.182000000000002,8.448,0.3354777221825113
002052,2024.0,21.636,6.452,0.29820669254945464
002054,1982.0,0.079,0.079,1.0
002054,1983.0,0.074,0.074,1.0
002054,1984.0,2.492,2.492,1.0
002054,1985.0,2.363,2.363,1.0
002054,1986.0,4.344,4.344,1.0
002054,1987.0,3.86,3.86,1.0
002054,1988.0,5.087,5.087,1.0
002054,1989.0,5.961,5.961,1.0
002054,1990.0,7.507,7.507,1.0
002054,1991.0,13.944,13.944,1.0
002054,1992.0,23.631,23.631,1.0
002054,1993.0,41.604,41.604,1.0
002054,1994.0,40.272,40.272,1.0
002054,1995.0,126.624,126.624,1.0
002054,1996.0,201.253,201.253,1.0
002054,1997.0,378.047,378.047,1.0
002054,1998.0,618.483,618.483,1.0
002067,1977.0,1.864,1.864,1.0
002067,1978.0,2.212,2.212,1.0
002067,1979.0,3.395,3.395,1.0
002067,1980.0,7.461,7.461,1.0
002067,1981.0,12.512,12.512,1.0
002067,1982.0,10.904,10.904,1.0
002067,1983.0,12.345,12.345,1.0
002067,1984.0,15.697,15.697,1.0
002067,1985.0,15.323,15.323,1.0
002067,1986.0,8.036,8.036,1.0
002067,1987.0,8.518,8.518,1.0
002067,1988.0,7.332,7.332,1.0
002067,1989.0,8.441,8.441,1.0
002073,1977.0,8.739,8.739,1.0
002073,1978.0,6.574,6.574,1.0
002073,1979.0,2.65,2.65,1.0
002073,1980.0,3.279,3.279,1.0
002073,1981.0,3.561,3.561,1.0
002073,1982.0,4.125,4.125,1.0
002073,1983.0,4.326,4.326,1.0
002073,1984.0,4.503,4.503,1.0
002073,1985.0,3.776,3.776,1.0
002073,1986.0,1.921,1.921,1.0
002073,1987.0,1.882,1.882,1.0
002073,1988.0,1.507,1.507,1.0
002073,1989.0,1.778,1.778,1.0
002073,1990.0,1.972,1.972,1.0
002073,1991.0,1.559,1.559,1.0
002073,1992.0,1.653,1.653,1.0
002073,1993.0,1.241,1.241,1.0
002073,1994.0,1.436,1.436,1.0
002073,1995.0,2.826,2.826,1.0
002073,1996.0,3.045,3.045,1.0
002073,1997.0,2.45,2.45,1.0
002073,1998.0,1.449,1.449,1.0
002073,1999.0,2.219,2.219,1.0
002073,2000.0,3.0,3.0,1.0
002073,2001.0,2.371,2.371,1.0
002073,2002.0,2.586,2.586,1.0
002073,2010.0,8.206,8.206,1.0
002073,2011.0,11.712,11.712,1.0
002073,2012.0,11.378,11.378,1.0
002073,2013.0,17.514,17.514,1.0
002076,1983.0,15.936,0.0,0.0
002076,1984.0,12.596,0.0,0.0
002076,1985.0,14.162,0.0,0.0
002076,1986.0,11.256,0.0,0.0
002076,1987.0,12.413,0.0,0.0
002076,1988.0,17.136,0.0,0.0
002076,1989.0,13.875,0.0,0.0
002076,1990.0,22.217,0.0,0.0
002076,1991.0,19.616,0.0,0.0
002076,1992.0,24.667,0.0,0.0
002076,1993.0,26.123,0.0,0.0
002076,1994.0,28.005,0.0,0.0
002076,1995.0,45.625,0.0,0.0
002076,1996.0,80.847,0.0,0.0
002092,1982.0,0.099,0.099,1.0
002092,1983.0,1.117,1.117,1.0
002092,1984.0,2.953,2.953,1.0
002092,1985.0,3.231,3.231,1.0
002092,1986.0,2.344,2.344,1.0
002093,1981.0,0.159,0.159,1.0
002093,1982.0,0.084,0.084,1.0
002093,1983.0,0.159,0.159,1.0
002093,1984.0,0.148,0.148,1.0
002093,1985.0,0.183,0.183,1.0
002106,1977.0,5.452,5.452,1.0
002106,1978.0,4.284,4.284,1.0
002106,1979.0,2.445,2.445,1.0
002125,1976.0,266.10200000000003,63.302,0.23788622407948828
002125,1977.0,296.22299999999996,70.844,0.2391576616265449
002125,1978.0,305.318,59.967,0.19640833491638227
002125,1979.0,84.862,77.509,0.9133534444156396
002125,1980.0,106.818,95.643,0.8953828006515756
002125,1981.0,126.72200000000001,112.802,0.8901532488439261
002125,1982.0,145.091,121.211,0.835413636958874
002128,1984.0,10.807,10.807,1.0
002128,1985.0,9.319,9.319,1.0
002128,1986.0,7.401,7.401,1.0
002128,1987.0,7.849,7.849,1.0
002128,1988.0,8.914,8.914,1.0
002128,1989.0,11.013,11.013,1.0
002128,1990.0,12.005,12.005,1.0
002128,1991.0,11.725,11.725,1.0
002128,1992.0,50.939,50.939,1.0
002128,1993.0,76.891,76.891,1.0
002128,1994.0,82.545,82.545,1.0
002128,1995.0,107.355,107.355,1.0
002128,1996.0,149.535,149.535,1.0
002128,1997.0,160.333,160.333,1.0
002128,1998.0,150.413,150.413,1.0
002128,2000.0,114.593,114.593,1.0
002128,2001.0,129.482,129.482,1.0
002128,2002.0,112.086,112.086,1.0
002128,2003.0,108.764,108.764,1.0
002128,2004.0,101.782,101.782,1.0
002128,2005.0,154.794,154.794,1.0
002128,2006.0,159.09,159.09,1.0
002128,2007.0,125.656,125.656,1.0
002128,2008.0,158.426,158.426,1.0
002128,2009.0,68.624,68.624,1.0
002128,2010.0,66.38,66.38,1.0
002147,1979.0,1.477,1.477,1.0
002147,1980.0,1.729,1.729,1.0
002147,1981.0,3.615,3.615,1.0
002147,1982.0,5.094,5.094,1.0
002147,1983.0,8.883,8.883,1.0
002147,1984.0,10.945,10.945,1.0
002147,1985.0,6.134,6.134,1.0
002147,1986.0,3.63,3.63,1.0
002147,1987.0,0.0,0.0,
002161,1977.0,0.12,0.0,0.0
002161,1978.0,0.091,0.0,0.0
002161,1979.0,0.077,0.0,0.0
002161,1980.0,0.138,0.0,0.0
002161,1981.0,0.12,0.0,0.0
002161,1982.0,1.091,0.0,0.0
002161,1983.0,0.474,0.0,0.0
002161,1984.0,0.492,0.0,0.0
002161,1985.0,0.434,0.0,0.0
002161,1986.0,0.29,0.0,0.0
002161,1987.0,0.192,0.0,0.0
002164,1978.0,0.634,0.634,1.0
002164,1979.0,0.574,0.574,1.0
002164,1980.0,0.818,0.818,1.0
002164,1981.0,1.29,1.29,1.0
002164,1982.0,2.052,0.496,0.24171539961013644
002164,1983.0,0.5,0.5,1.0
002164,1984.0,0.423,0.423,1.0
002164,1985.0,0.396,0.396,1.0
002164,1986.0,0.114,0.114,1.0
002164,1987.0,0.0,0.0,
002164,1988.0,0.103,0.103,1.0
002164,1989.0,0.199,0.199,1.0
002164,1990.0,0.71,0.71,1.0
002164,1991.0,0.85,0.85,1.0
002204,1977.0,0.602,0.602,1.0
002204,1978.0,0.566,0.566,1.0
002204,1979.0,0.593,0.593,1.0
002204,1980.0,0.59,0.59,1.0
002204,1981.0,0.796,0.796,1.0
002204,1982.0,0.814,0.814,1.0
002204,1983.0,0.63,0.63,1.0
002204,1984.0,0.552,0.552,1.0
002204,1985.0,0.483,0.483,1.0
